,0
pm25_rolling_mean_72h,0.0020394289598912306
pm25_rolling_max_48h,0.0020394289598912306
pm25_rolling_min_48h,0.0020394289598912306
pm25_rolling_mean_48h,0.0020394289598912306
pm25_rolling_max_24h,0.0020394289598912306
pm10_rolling_min_6h,0.0020394289598912306
pm10_rolling_mean_168h,0.0020394289598912306
pm10_rolling_mean_12h,0.0020394289598912306
wind_pm10_interaction,0.0020394289598912306
temperature_pm25_interaction,0.0020394289598912306
pm10_rolling_max_168h,0.0020394289598912306
pm10_rolling_min_168h,0.0020394289598912306
humidity_pm10_interaction,0.0020394289598912306
humidity_pm25_interaction,0.0020394289598912306
pm10_rolling_max_72h,0.0020394289598912306
pm10_rolling_min_72h,0.0020394289598912306
pm10_rolling_mean_72h,0.0020394289598912306
pm10_rolling_max_48h,0.0020394289598912306
pm10_rolling_min_12h,0.0020394289598912306
pm10_rolling_min_48h,0.0020394289598912306
pm10_rolling_mean_48h,0.0020394289598912306
wind_pm25_interaction,0.0020394289598912306
pm10_rolling_max_24h,0.0020394289598912306
pm10_rolling_min_24h,0.0020394289598912306
pm10_rolling_mean_24h,0.0020394289598912306
pm25_pm10_ratio,0.0020394289598912306
pm10_rolling_max_12h,0.0020394289598912306
pm10_rolling_max_6h,0.0020394289598912306
pm25_rolling_mean_24h,0.0020394289598912306
pm25_no2_interaction,0.0020394289598912306
pm25_rolling_mean_3h,0.0020394289598912306
ozone,0.0020394289598912306
sulphur_dioxide,0.0020394289598912306
nitrogen_dioxide,0.0020394289598912306
carbon_monoxide,0.0020394289598912306
pm2_5,0.0020394289598912306
pm10,0.0020394289598912306
pm25_rolling_max_12h,0.0020394289598912306
temperature_ozone_interaction,0.0020394289598912306
pm25_rolling_min_12h,0.0020394289598912306
pm25_rolling_mean_12h,0.0020394289598912306
pm25_rolling_max_6h,0.0020394289598912306
pm25_rolling_min_6h,0.0020394289598912306
pm25_rolling_min_3h,0.0020394289598912306
pm25_rolling_mean_6h,0.0020394289598912306
pm25_rolling_max_3h,0.0020394289598912306
pressure_change_24h,0.0006798096532970768
humidity_lag_24h,0.0006798096532970768
dew_point_lag_24h,0.0006798096532970768
precipitation_lag_24h,0.0006798096532970768
wind_lag_24h,0.0006798096532970768
pressure_lag_24h,0.0006798096532970768
wind_change_24h,0.0006798096532970768
temperature_lag_24h,0.0006798096532970768
