feature_name,dtype,missing_percentage,unique_values,used_for_training,reason_if_excluded
pm25_rolling_mean_12h,float64,0.20394289598912305,29669,True,
pm25_rolling_min_12h,float64,0.20394289598912305,1015,True,
pm25_rolling_max_12h,float64,0.20394289598912305,1089,True,
pm25_rolling_std_12h,float64,0.2067754362111942,105267,True,
pm25_rolling_mean_24h,float64,0.20394289598912305,34251,True,
pm25_rolling_min_24h,float64,0.20394289598912305,810,True,
pm25_rolling_max_24h,float64,0.20394289598912305,1050,True,
pm25_rolling_std_24h,float64,0.2067754362111942,105110,True,
pm25_rolling_mean_48h,float64,0.20394289598912305,47828,True,
pm25_rolling_min_48h,float64,0.20394289598912305,725,True,
pm25_rolling_max_48h,float64,0.20394289598912305,1016,True,
pm25_rolling_std_48h,float64,0.2067754362111942,105278,True,
pm25_rolling_mean_72h,float64,0.20394289598912305,58363,True,
pm25_rolling_min_72h,float64,0.20394289598912305,669,True,
pm25_rolling_max_72h,float64,0.20394289598912305,988,True,
pm25_rolling_std_72h,float64,0.2067754362111942,105287,True,
pm25_rolling_mean_168h,float64,0.20394289598912305,76298,True,
pm25_rolling_min_168h,float64,0.20394289598912305,523,True,
pm25_rolling_max_168h,float64,0.20394289598912305,912,True,
pm25_rolling_std_168h,float64,0.2067754362111942,105344,True,
pm10_rolling_mean_3h,float64,0.20394289598912305,48477,True,
pm10_rolling_min_3h,float64,0.20394289598912305,1297,True,
pm10_rolling_max_3h,float64,0.20394289598912305,1311,True,
pm10_rolling_std_3h,float64,0.2067754362111942,104966,True,
pm10_rolling_mean_6h,float64,0.20394289598912305,28516,True,
pm10_rolling_min_6h,float64,0.20394289598912305,1226,True,
pm10_rolling_max_6h,float64,0.20394289598912305,1288,True,
pm10_rolling_std_6h,float64,0.2067754362111942,105301,True,
pm10_rolling_mean_12h,float64,0.20394289598912305,36707,True,
pm10_rolling_min_12h,float64,0.20394289598912305,1130,True,
pm10_rolling_max_12h,float64,0.20394289598912305,1229,True,
pm10_rolling_std_12h,float64,0.2067754362111942,105394,True,
pm10_rolling_mean_24h,float64,0.20394289598912305,42797,True,
pm10_rolling_min_24h,float64,0.20394289598912305,967,True,
pm10_rolling_max_24h,float64,0.20394289598912305,1138,True,
pm10_rolling_std_24h,float64,0.2067754362111942,105286,True,
pm10_rolling_mean_48h,float64,0.20394289598912305,63066,True,
pm10_rolling_min_48h,float64,0.20394289598912305,874,True,
pm10_rolling_max_48h,float64,0.20394289598912305,1060,True,
pm10_rolling_std_48h,float64,0.2067754362111942,105384,True,
pm10_rolling_mean_72h,float64,0.20394289598912305,68946,True,
pm10_rolling_min_72h,float64,0.20394289598912305,805,True,
pm10_rolling_max_72h,float64,0.20394289598912305,997,True,
pm10_rolling_std_72h,float64,0.2067754362111942,105420,True,
pm10_rolling_mean_168h,float64,0.20394289598912305,84382,True,
pm10_rolling_min_168h,float64,0.20394289598912305,678,True,
pm10_rolling_max_168h,float64,0.20394289598912305,822,True,
pm10_rolling_std_168h,float64,0.2067754362111942,105518,True,
temperature_rolling_mean_3h,float64,0.0,18100,True,
temperature_rolling_min_3h,float64,0.0,433,True,
temperature_rolling_max_3h,float64,0.0,433,True,
temperature_rolling_std_3h,float64,0.0028325402220711533,103615,True,
temperature_rolling_mean_6h,float64,0.0,5702,True,
temperature_rolling_min_6h,float64,0.0,419,True,
temperature_rolling_max_6h,float64,0.0,428,True,
temperature_rolling_std_6h,float64,0.0028325402220711533,105205,True,
temperature_rolling_mean_12h,float64,0.0,7999,True,
temperature_rolling_min_12h,float64,0.0,372,True,
temperature_rolling_max_12h,float64,0.0,414,True,
temperature_rolling_std_12h,float64,0.0028325402220711533,105441,True,
temperature_rolling_mean_24h,float64,0.0,12237,True,
temperature_rolling_min_24h,float64,0.0,314,True,
temperature_rolling_max_24h,float64,0.0,356,True,
temperature_rolling_std_24h,float64,0.0028325402220711533,101786,True,
temperature_rolling_mean_48h,float64,0.0,21533,True,
temperature_rolling_min_48h,float64,0.0,303,True,
temperature_rolling_max_48h,float64,0.0,332,True,
temperature_rolling_std_48h,float64,0.0028325402220711533,102873,True,
temperature_rolling_mean_72h,float64,0.0,29301,True,
temperature_rolling_min_72h,float64,0.0,296,True,
temperature_rolling_max_72h,float64,0.0,323,True,
temperature_rolling_std_72h,float64,0.0028325402220711533,103111,True,
temperature_rolling_mean_168h,float64,0.0,48604,True,
temperature_rolling_min_168h,float64,0.0,284,True,
temperature_rolling_max_168h,float64,0.0,310,True,
temperature_rolling_std_168h,float64,0.0028325402220711533,103850,True,
humidity_rolling_mean_3h,float64,0.0,289,True,
humidity_rolling_min_3h,float64,0.0,96,True,
humidity_rolling_max_3h,float64,0.0,96,True,
humidity_rolling_std_3h,float64,0.0028325402220711533,86894,True,
humidity_rolling_mean_6h,float64,0.0,571,True,
humidity_rolling_min_6h,float64,0.0,96,True,
humidity_rolling_max_6h,float64,0.0,95,True,
humidity_rolling_std_6h,float64,0.0028325402220711533,102893,True,
humidity_rolling_mean_12h,float64,0.0,1111,True,
humidity_rolling_min_12h,float64,0.0,95,True,
humidity_rolling_max_12h,float64,0.0,89,True,
humidity_rolling_std_12h,float64,0.0028325402220711533,104231,True,
humidity_rolling_mean_24h,float64,0.0,2002,True,
humidity_rolling_min_24h,float64,0.0,91,True,
humidity_rolling_max_24h,float64,0.0,81,True,
humidity_rolling_std_24h,float64,0.0028325402220711533,99130,True,
humidity_rolling_mean_48h,float64,0.0,3836,True,
humidity_rolling_min_48h,float64,0.0,87,True,
humidity_rolling_max_48h,float64,0.0,75,True,
humidity_rolling_std_48h,float64,0.0028325402220711533,100590,True,
humidity_rolling_mean_72h,float64,0.0,5632,True,
humidity_rolling_min_72h,float64,0.0,86,True,
humidity_rolling_max_72h,float64,0.0,73,True,
humidity_rolling_std_72h,float64,0.0028325402220711533,101330,True,
humidity_rolling_mean_168h,float64,0.0,12068,True,
humidity_rolling_min_168h,float64,0.0,86,True,
humidity_rolling_max_168h,float64,0.0,64,True,
humidity_rolling_std_168h,float64,0.0028325402220711533,102092,True,
wind_rolling_mean_3h,float64,0.0,14001,True,
wind_rolling_min_3h,float64,0.0,400,True,
wind_rolling_max_3h,float64,0.0,416,True,
wind_rolling_std_3h,float64,0.0028325402220711533,103142,True,
wind_rolling_mean_6h,float64,0.0,9214,True,
wind_rolling_min_6h,float64,0.0,372,True,
wind_rolling_max_6h,float64,0.0,409,True,
wind_rolling_std_6h,float64,0.0028325402220711533,104571,True,
wind_rolling_mean_12h,float64,0.0,8579,True,
wind_rolling_min_12h,float64,0.0,320,True,
wind_rolling_max_12h,float64,0.0,398,True,
wind_rolling_std_12h,float64,0.0028325402220711533,104949,True,
wind_rolling_mean_24h,float64,0.0,13122,True,
wind_rolling_min_24h,float64,0.0,284,True,
wind_rolling_max_24h,float64,0.0,380,True,
wind_rolling_std_24h,float64,0.0028325402220711533,104568,True,
wind_rolling_mean_48h,float64,0.0,18452,True,
wind_rolling_min_48h,float64,0.0,251,True,
wind_rolling_max_48h,float64,0.0,365,True,
wind_rolling_std_48h,float64,0.0028325402220711533,104776,True,
wind_rolling_mean_72h,float64,0.0,23572,True,
wind_rolling_min_72h,float64,0.0,224,True,
wind_rolling_max_72h,float64,0.0,360,True,
wind_rolling_std_72h,float64,0.0028325402220711533,104765,True,
wind_rolling_mean_168h,float64,0.0,37945,True,
wind_rolling_min_168h,float64,0.0,174,True,
wind_rolling_max_168h,float64,0.0,337,True,
wind_rolling_std_168h,float64,0.0028325402220711533,104855,True,
aqi_change_1h,float64,0.2813656620590679,109,True,
aqi_pct_change_1h,float64,0.2813656620590679,5634,True,
aqi_change_3h,float64,0.28891910265125764,212,True,
aqi_pct_change_3h,float64,0.28891910265125764,9745,True,
aqi_change_6h,float64,0.3002492635395423,282,True,
aqi_pct_change_6h,float64,0.3002492635395423,12214,True,
aqi_change_24h,float64,0.35123498753682303,403,True,
aqi_pct_change_24h,float64,0.35123498753682303,12406,True,
pm25_change_1h,float64,0.2067754362111942,3084,True,
pm25_pct_change_1h,float64,0.2067754362111942,46865,True,
pm25_change_3h,float64,0.2124405166553365,5663,True,
pm25_pct_change_3h,float64,0.2124405166553365,65064,True,
pm25_change_6h,float64,0.22093813732154996,7161,True,
pm25_pct_change_6h,float64,0.22093813732154996,73017,True,
pm25_change_24h,float64,0.27192386131883073,6531,True,
