feature,mean_abs_shap_24h,mean_abs_shap_48h,mean_abs_shap_72h
numeric__pm10_rolling_min_12h,0.10174718906726606,0.09641896830805849,0.07634118128394546
numeric__pm10_pct_change_6h,0.10153207620657474,0.23607278775516066,0.5824488440038299
numeric__temperature_rolling_mean_6h,0.10027357939833814,0.11927365471513893,0.0842028252281314
numeric__temperature_2m,0.09841140680596872,0.11834178472305706,0.07141905227441903
numeric__humidity_rolling_max_24h,0.09824794407601545,0.08511497009764862,0.0029604925250783965
numeric__wind_rolling_mean_48h,0.09697849345469109,0.18435039268495035,0.27527676145811963
numeric__humidity_lag_6h,0.08818626603327276,0.07646394927335608,0.04400807127700253
city__city_Karachi,0.08797337613485645,0.09714727124807447,0.23096184368638337
numeric__pm25_rolling_max_168h,0.08437559537936341,0.15946723016709355,0.03251830394929605
numeric__apparent_temperature,0.083587624156099,0.10993845325591829,0.12178673705494342
numeric__temperature_rolling_mean_168h,0.08263163410844503,0.10565076278777415,0.06805674267906509
numeric__cloud_cover,0.08207541155410783,0.1261687222300951,0.10494633297612392
numeric__aqi_above_200,0.08145060534831287,0.07844956391770291,0.06956876065096479
numeric__pm25_rolling_std_12h,0.0803254161759214,0.0284004619022073,0.031116152869958665
numeric__no2_lag_1h,0.0793671941569573,0.05042350724256019,0.016407561549876284
numeric__humidity_rolling_max_168h,0.07479482670216009,0.05457990968216571,0.12447984119005828
numeric__wind_rolling_mean_12h,0.07344432774926364,0.03817108504112563,0.013107274698506933
numeric__temperature_rolling_mean_72h,0.07328901187920517,0.15579362316638118,0.21349757000158365
numeric__temperature_rolling_max_72h,0.07269945839048059,0.08842921907062713,0.16160345511056842
numeric__wind_rolling_min_3h,0.07248851681602324,0.10836547696162585,0.03540156983060303
numeric__wind_rolling_mean_72h,0.07161839421322824,0.0625759982052317,0.013377892558372984
numeric__pm25_rolling_std_48h,0.07106888706829195,0.15159290941832998,0.2049729183912829
numeric__pm25_rolling_mean_12h,0.06983984356765481,0.000598639405315277,0.009165449483455214
numeric__temperature_ozone_interaction,0.06845977698230991,0.058970888151785576,0.05057700663723727
numeric__wind_gusts_10m,0.06642396086969361,0.21391241851420767,0.02573055116272472
numeric__pm25_lag_12h,0.06496832048126759,0.08762041502716979,0.182689725577098
numeric__pm25_pct_change_1h,0.06419700099847313,0.0037556935119644,0.02043216196079896
numeric__humidity_rolling_mean_168h,0.06332216212632415,0.22371234451631591,0.2473844202613508
numeric__pm10_rolling_mean_24h,0.06329924439700167,0.12119059367017253,0.18456220552782523
numeric__ozone,0.062178738690242014,0.055950422895898015,0.04757349098304602
numeric__aqi_rolling_max_24h,0.06184007996640987,0.09614194662076168,0.09427222427157941
numeric__day,0.06177516635146639,0.07241710201600142,0.08858484399428206
numeric__pm25_pct_change_6h,0.061358849475744305,0.01318148119712026,0.03030809002131544
numeric__day_of_year,0.060946410625092526,0.1005799908757323,0.12740094137047336
numeric__humidity_lag_24h,0.06073291436455087,0.00026737069251578214,0.014299800826532025
numeric__so2_lag_1h,0.060289208479639374,0.014042614239287798,0.029173378323718774
numeric__wind_rolling_std_24h,0.05956867353027567,0.0512138097368403,0.034005878574023464
numeric__month,0.05905020298942013,0.10452208154497557,0.08840248917188469
numeric__wind_rolling_mean_24h,0.05879079427670242,0.07881979508194518,0.14243446838547338
numeric__wind_rolling_min_48h,0.05649796594957899,0.012643918481871864,0.05087168718623514
numeric__day_of_year_cos,0.05640115979481726,0.1266277589922826,0.12373003999629863
numeric__so2_lag_24h,0.05622641262128533,0.12219453208887608,0.08602375998736908
numeric__pm10_rolling_mean_3h,0.05547739427169436,0.00011231451008621985,0.019053334955549263
numeric__aqi_rolling_std_12h,0.054597945135696296,0.03358321679880007,0.00871898423783601
numeric__pm25_change_3h,0.05396458228806619,0.007425595301380744,0.030722460780161043
numeric__pm10_rolling_min_3h,0.05373197528912141,0.013584492748737192,0.011293829964590892
numeric__wind_rolling_max_3h,0.052996003314512236,0.020530977187567537,0.012620334776328436
numeric__pressure_change_24h,0.052289387652175064,0.06800102234871368,0.05870032337584727
numeric__day_of_year_sin,0.052173269791635356,0.11539085349615463,0.12154030104676071
numeric__aqi_pct_change_24h,0.05125593656850362,0.0007722441202038183,0.03799557115360188
numeric__humidity_rolling_max_3h,0.05104648595172512,0.02938004571946259,0.025120429318333352
numeric__temperature_rolling_min_48h,0.050916394506629215,0.08593671100560184,0.1541804815832291
numeric__pm25_no2_interaction,0.05046159013547346,0.03768798429205567,0.0770370502576299
numeric__temperature_rolling_max_48h,0.04886014543752107,0.09811241211653658,0.10646341663871267
numeric__pm10_lag_6h,0.04808491776523717,0.06616509797975634,0.02327714246477127
numeric__aqi_lag_6h,0.04719892300533576,0.012592857009598906,0.007256061920697394
numeric__pm10_rolling_min_6h,0.04713602518930287,0.04433066809285791,0.032191250073815826
numeric__pm10_rolling_max_48h,0.04621150380137289,0.210684984549338,0.21220155727323156
numeric__pm10_rolling_std_12h,0.04420595970446096,0.035547587676264744,0.0532899138164928
numeric__humidity_rolling_min_12h,0.043662959013208755,0.027549523669124547,0.07068960324039444
numeric__aqi_lag_18h,0.04220711168712298,0.198173957414921,0.0028805139891717882
numeric__pm25_change_1h,0.04217856207875619,0.020735616213708605,0.004316605682459644
numeric__pm10_rolling_std_48h,0.0420163747870978,0.05558143446950106,0.0476422239715986
numeric__pm25_lag_6h,0.04196175750793861,0.06061911686242096,0.005703996234425045
numeric__high_pm10,0.041925692252719145,0.03510022858974451,0.014913846044879244
numeric__pm25_rolling_min_72h,0.04107285127816376,0.026326294489243892,0.041520493932319415
numeric__humidity_rolling_min_3h,0.04094438648829978,0.0426609152323408,0.06513265322494871
numeric__temperature_change_6h,0.0407024601226277,0.007802084186886094,0.006529213376520612
numeric__pressure_lag_12h,0.03934936149947412,0.0978539604862572,0.20846644799417022
numeric__pm25_rolling_std_3h,0.0389567220332242,0.021437149110881074,0.02135242826074138
numeric__humidity_rolling_std_6h,0.038190260542014944,0.005026780353868418,0.00898886910176269
numeric__humidity_rolling_max_12h,0.037743481978345476,0.038941548073776006,0.07817775918368239
numeric__pressure_lag_6h,0.03761453649248333,0.079893298910061,0.15847593252496994
numeric__humidity_rolling_std_24h,0.03572828096071444,0.03102266730573566,0.02118303193612391
numeric__aqi_rolling_std_72h,0.035010660313562966,0.010720509809873213,0.01083039522632432
numeric__temperature_rolling_mean_48h,0.034296322665397755,0.07021938481613035,0.10123596719945037
numeric__o3_lag_12h,0.034129603051580366,0.031400096165038,0.043811763487616444
numeric__month_sin,0.03408849862269664,0.06940409390019736,0.09335158480565445
numeric__temperature_rolling_max_6h,0.033848996927182344,0.048033459669329585,0.035090346496484494
numeric__day_of_week_sin,0.03370065739955483,0.09947364889953891,0.11661099715615882
numeric__pm10_rolling_min_72h,0.03356693927844543,0.07830718399300235,0.04047240038033588
numeric__pm25_rolling_max_72h,0.0330774152048118,0.15940330738481454,0.20056510518033344
numeric__wind_rolling_min_168h,0.03274278240636389,0.07930464608268352,0.0937433433790453
numeric__temperature_rolling_min_72h,0.03229512916252222,0.07764304590667757,0.20047180122801972
numeric__temperature_rolling_max_24h,0.03208505069710485,0.017081343531223443,0.011120047996893593
numeric__hour,0.03179703054075605,0.15421772580718893,0.12497878139507283
numeric__humidity_pressure_interaction,0.03178104251682344,0.02972054805615599,0.044175733001702897
numeric__wind_pm10_interaction,0.03148752932414469,0.014930683706032228,0.016703144207403074
numeric__temperature_rolling_mean_24h,0.03085805593643732,0.03333769637460258,0.044904120287818226
numeric__hour_sin,0.030365068115930084,0.018648039594110977,0.01828486691520499
numeric__wind_change_6h,0.030362586422339424,0.012638307383761647,0.03726695515348355
numeric__pm10_rolling_mean_168h,0.030174040215909376,0.037258067007348475,0.023212888024281453
numeric__temperature_lag_24h,0.02930232275323536,0.011620694878191831,0.01715624262803979
numeric__aqi_change_24h,0.029116119512345676,0.05517242534076928,0.02626840115666606
numeric__pm25_lag_48h,0.02899211780926924,0.035131306129004045,0.03563575669581552
numeric__pm25_rolling_min_48h,0.02877211812736929,0.16325173151463504,0.09431053648293623
numeric__temperature_change_24h,0.028507921380225107,0.022212540993324686,0.010435697691338678
numeric__co_lag_3h,0.028296638721751196,0.05628939849398635,0.11218547276620627
numeric__o3_lag_48h,0.028003901228388188,0.027421876603181135,0.026553381618516347
numeric__month_cos,0.02788631592099759,0.06373185292798957,0.09573028947689802
numeric__aqi_lag_8h,0.027793438838058827,0.02823800355586733,0.028281895913990995
numeric__co_lag_24h,0.027535978319134888,0.023235546247246927,0.01594308778604799
numeric__wind_rolling_min_24h,0.027488864438075314,0.02135382735348364,0.007222770342077397
numeric__pm25_rolling_std_24h,0.02738358391957669,0.014558059956262524,0.049612326079069805
numeric__wind_rolling_std_12h,0.02689897797325988,0.015991792274226167,0.020464321463498285
numeric__pm10_lag_24h,0.026719342786700996,0.037796923655313716,0.04595023672199527
numeric__pm10_pct_change_1h,0.02634233010334582,0.013544133206870819,0.007107297409592619
numeric__wind_rolling_max_6h,0.026300417345365125,0.014404540168111558,0.021716153925736042
numeric__humidity_rolling_mean_12h,0.026107530580990378,0.019474647123549484,0.028131072899416028
numeric__so2_lag_12h,0.02557063965916169,0.058911278792292424,0.05326286850172054
numeric__year,0.02542713932767186,0.12411375430727713,0.1147235472569078
numeric__o3_lag_72h,0.024982445851957084,0.03441946903942849,0.03587054414796701
numeric__carbon_monoxide,0.024820202813786454,0.036874147587557145,0.03004709083556432
numeric__pm10_rolling_mean_72h,0.024662033365380177,0.18136457922932625,0.4238568402885952
numeric__pm10_rolling_std_72h,0.024527692575503537,0.04216000192607173,0.002031819339345041
numeric__humidity_rolling_min_6h,0.024372731296083024,0.10725573944984179,0.10839288924010398
numeric__wind_speed_squared,0.023908371552934835,0.04443847215156074,0.013063838504036543
numeric__so2_lag_48h,0.023895662901865046,0.03729226748032183,0.07789184031551619
numeric__wind_lag_6h,0.023884937753263516,0.00521291595796392,0.02829939430387033
numeric__aqi_rolling_max_48h,0.023814497467884204,0.0920723267897917,0.10603441060438248
numeric__aqi_lag_36h,0.0225982151588849,0.04340088937259415,0.006778726170887043
numeric__wind_rolling_std_168h,0.02215785237950612,0.05206102923751763,0.1011109126100136
numeric__temperature_rolling_std_168h,0.021407488307058638,0.06435542858163786,0.09106558122330344
numeric__humidity_rolling_mean_6h,0.020877791431411722,0.022970958717635534,0.041111726594820444
numeric__pressure_lag_24h,0.020579416383182083,0.012264068953208727,0.0972620588008789
numeric__pm10_change_6h,0.020468337010752128,0.01751680061411878,0.01844992305305149
numeric__pm25_rolling_mean_168h,0.020424344097578224,0.08114848648246221,0.030076580663301915
numeric__temperature_rolling_min_168h,0.02042338690608093,0.06644660230227294,0.09529577040239907
numeric__humidity_pm10_interaction,0.020384707461168664,0.015400302072401032,0.04557604593023469
numeric__dew_point_lag_1h,0.020234116745681065,0.002208097944192056,0.01116969467145979
numeric__co_no2_ratio,0.02002915623295211,0.015547612791314764,0.016421989100780257
numeric__temperature_change_1h,0.019987576442297476,0.012615085847039617,0.03010366139932596
numeric__high_ozone,0.019731271007076022,0.02564268662326788,0.029173676302175263
numeric__humidity_rolling_max_72h,0.019698483440408542,0.029864919331999983,0.16627547285291863
numeric__temperature_pressure_interaction,0.01950320730225297,0.07042261949228512,0.029150497266476685
numeric__pm10_lag_1h,0.019436756753137326,0.006800942723461378,0.021119655342975396
numeric__dew_point_lag_6h,0.01938320528029802,0.04020194411543645,0.0012514047235556369
numeric__dew_point_lag_3h,0.01878408578572063,0.022584262091365728,0.021401820659618497
numeric__pm10_rolling_std_24h,0.01876087693589572,0.024623282148307155,0.022589927752861373
numeric__pm25_change_6h,0.018755336847449344,0.007357822606646671,0.0032308128140265185
numeric__wind_rolling_min_12h,0.01857135621251672,0.006304975567347503,0.024592195028101574
numeric__pm10_rolling_min_24h,0.01844165546821124,0.05053686172013463,0.04101257220002588
numeric__humidity_rolling_mean_24h,0.018358155703838433,0.008849631058926027,0.023401070149680837
numeric__pm10_change_1h,0.018269559029128312,0.0162363745675477,0.015908230531785486
numeric__pm10_rolling_max_12h,0.01824788067722271,0.0676024316809891,0.09037508446365454
numeric__pm25_lag_3h,0.0181176656670665,0.004753245449898025,0.007606024282044037
numeric__temperature_rolling_std_72h,0.017605653038004463,0.049411848234993706,0.03816707299963019
numeric__pm25_lag_72h,0.01657425893622706,0.019332595157308733,0.034982106598545816
numeric__day_of_week,0.01623042328925163,0.055226199927290116,0.03993279973223584
numeric__relative_humidity_2m,0.016184510148942333,0.016998344732479354,0.003484231916805691
numeric__pm25_pct_change_3h,0.01615020293688521,0.03405503642771379,0.025812267474558837
numeric__pm10_lag_48h,0.015984593393159028,0.05990096492900909,0.056324077943130164
numeric__surface_pressure,0.015650332439264926,0.042210518003282724,0.029141653593648828
numeric__aqi_rolling_std_48h,0.015600066351827062,0.03705070176331183,0.045402165064317865
numeric__humidity_change_24h,0.014925587497952308,0.027686020221730123,0.034908435042850426
numeric__humidity_rolling_mean_48h,0.014514158909295678,0.06004954469119328,0.09737188827558838
numeric__pm10_rolling_mean_12h,0.014378214984945823,0.033949657509128345,0.018717414721365754
numeric__humidity_rolling_min_24h,0.014168823178586273,0.025437643206668966,0.026459250940236198
numeric__sulphur_dioxide,0.013700935530986176,0.005052797670313512,0.0014564285115060446
numeric__wind_lag_1h,0.013206604310578561,0.005382717001192298,0.00424572576894863
numeric__aqi_rolling_std_24h,0.013150556031730876,0.030551722181461648,0.019179254902226096
numeric__quarter,0.013093131739935118,0.04014638302266744,0.052414579054650766
numeric__humidity_rolling_std_72h,0.013031287914079322,0.045224689621111404,0.0067604602306705
numeric__humidity_rolling_min_72h,0.012956569387573258,0.0059992488465847125,0.030286580300370607
numeric__no2_lag_12h,0.01294784838561766,0.011118224299787503,0.0017790849418053822
numeric__humidity_lag_3h,0.012922970519330093,0.04190335518041541,0.03495968103818218
numeric__humidity_rolling_std_12h,0.012722191017758096,0.010359520631246708,0.0012701542898158069
numeric__wind_speed_10m,0.01258191063179436,0.014081270922726674,0.007578614808592839
numeric__wind_rolling_std_6h,0.012527805834015653,0.018410870730997696,0.008839797065118045
numeric__wind_aqi_interaction,0.012095600345893317,0.00522429527538924,0.02143255062735436
numeric__humidity_change_6h,0.012044862265414711,0.05346373289698141,0.0578277863685594
numeric__temperature_rolling_std_48h,0.012022227174634716,0.004451037093939476,0.05660053708467594
numeric__wind_rolling_mean_6h,0.01201594273238191,0.003996448520016957,0.013279657648838476
numeric__wind_change_1h,0.011969479198136904,0.019643672937962386,0.010623957669275277
numeric__so2_lag_6h,0.01181780470195793,0.007725171555293678,0.000264031831131945
numeric__week_of_year,0.011060334387026945,0.10926184539009794,0.08617233850969637
numeric__humidity_rolling_std_48h,0.010559687641158059,0.02199729479477214,0.0056355065533912185
numeric__pressure_lag_1h,0.010460805173149968,0.010387827049511723,0.012940275767167334
numeric__pm10_rolling_std_6h,0.01037324202786147,0.020072008922467858,0.01352236899985648
numeric__pm10_lag_3h,0.01024253948511779,0.02900688993564427,0.03130019643026825
numeric__wind_rolling_mean_168h,0.009905012192756588,0.0044993789386373025,0.049883437729170164
numeric__season,0.009324060006851279,0.0051029024721115914,0.0027959421644139473
numeric__dew_point_2m,0.009310083471289568,0.004276914374649437,0.011990932117439883
numeric__pm25_rolling_std_6h,0.009172613223195415,0.009699556838472075,0.005307058460664758
numeric__pm10_lag_72h,0.009147582393791617,0.02556405179231117,0.03870259322982612
numeric__co_lag_12h,0.009130386576148194,0.0518277364974679,0.050972761992797634
numeric__wind_lag_3h,0.008887575381469838,0.003530894974797924,0.005777130443322567
numeric__wind_pm25_interaction,0.008692893101545878,0.008136043295333266,0.009955919120286046
numeric__temperature_rolling_mean_12h,0.00862273437546277,0.019936339530385337,0.014821026691418908
numeric__wind_direction_sin,0.00855375511933125,0.05842239150746653,0.10287906626481008
numeric__co_lag_1h,0.008496292096108367,0.0036574287386362584,0.008895943302143392
numeric__pm10_rolling_min_48h,0.008350011747369795,0.012305579374723605,0.007934146707497527
numeric__temperature_lag_12h,0.007683684342627185,0.047529478619955955,0.052706244803227185
numeric__temperature_rolling_std_3h,0.007411088813627216,0.011144195640917995,0.045897733462746414
numeric__humidity_rolling_min_168h,0.00714937590479268,0.09096538169776412,0.4290378869962836
numeric__co_lag_72h,0.00703020531754902,0.020364811165419633,0.021358202951373407
numeric__co_lag_6h,0.006788129865058676,0.029278867962303667,0.02473556391301779
numeric__day_of_week_cos,0.006710150038258686,0.00535724302957612,0.031165330450979217
numeric__nitrogen_dioxide,0.0066522050416890025,0.0070465875626063885,0.0050944883986889485
numeric__pm10_rolling_mean_6h,0.006511177904554446,0.02909612402706237,0.09505790014981666
numeric__temperature_rolling_std_12h,0.006476448478486633,0.010230432435821411,0.008154779954002277
numeric__o3_lag_24h,0.006469058900472917,0.04481252081617469,0.06789905966504943
numeric__temperature_lag_6h,0.006417163571119415,0.037361402070804316,0.059089432147157755
numeric__wind_rolling_mean_3h,0.006171762590018828,0.024070934881661826,0.028180211382368522
numeric__pm10_lag_12h,0.005844975571207915,0.027958153670755576,0.0007588541009703324
numeric__wind_rolling_max_168h,0.00571388796176859,0.004691523580955632,0.08426128050309312
numeric__aqi_rolling_min_12h,0.005633718403982644,0.03829041938565948,0.0008168614499594487
numeric__no2_o3_ratio,0.005559746566933226,0.004945451224501671,0.001819953765687119
numeric__no2_lag_24h,0.005545855860898281,0.02963663536579695,0.03871864469354975
numeric__no2_lag_48h,0.005368638597271566,0.0034636731655305645,0.0237717280594075
numeric__wind_change_24h,0.005315334345656974,0.008295070298703192,0.010867466324999651
numeric__humidity_change_1h,0.0052437238315280275,0.003311832372446072,0.0003477908955170083
numeric__dew_point_lag_24h,0.005240004581355918,0.08999781542979271,0.32639887002622625
numeric__dew_point_lag_12h,0.005170183211796331,0.0018167778172469703,0.007860631253176032
numeric__pm25_rolling_std_72h,0.0048044748285778534,0.07254871047557208,0.18713735068660384
numeric__temperature_rolling_max_12h,0.004777287504619801,0.02289388598057422,0.03180394313212501
numeric__pm10_rolling_std_3h,0.0045556735708621775,0.02025604393909213,0.031124730824126978
numeric__temperature_rolling_std_6h,0.004494886232533115,0.0024075216444582473,0.006847418383599128
numeric__high_wind,0.004489334291897288,0.0031287995173907486,0.0052294463894349075
numeric__wind_direction_10m,0.004160202738635147,0.03251327971842833,0.04550147604631024
numeric__aqi_lag_12h,0.004013207267022316,0.028138801782235913,0.22486591271944056
numeric__humidity_rolling_mean_72h,0.0038932186251815683,0.014809379502456884,0.00877468335708725
numeric__wind_rolling_std_3h,0.0037925931403954747,0.020681107664872484,0.017357930747249842
numeric__wind_lag_24h,0.0037194886727116043,0.002467597623817191,0.0009843799429574062
numeric__humidity_lag_1h,0.003650614328384696,0.0021091300011248618,0.005407452541760151
numeric__wind_rolling_std_48h,0.0032901400939345164,0.043768352874233224,0.08830048598534523
